Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
247	0.1048591294754018	0.03325182985573595	0.0005488910438065924	0.01126783279419285
248	0.07044257559930295	0.06291489466427626	0.015170082897229093	0.002470906378326174
249	0.06271725256828888	0.044610072440821366	0.027928502466850066	1.838039272790938e-05
250	0.0279148658991453	0.06869115154177799	0.01732276642099447	0.0047193801899512175
251	0.031545664076547526	0.04139041649003977	0.01639733509607447	0.004755920370420293
252	0.025077921900559564	0.04331848734521236	0.02030573711200135	0.005512324126980177
253	0.024384555265167602	0.02692673677248203	0.020890835222433377	0.0034930378125623703
254	0.01720089631440962	0.018509543430861093	0.013138529153332697	0.002556592622958136
255	0.030205789284179673	0.014567725762481398	0.02128288441021631	0.0001949526921425613
256	0.02610495462506981	0.013212802264712348	0.018896741974505478	0.00021704033731742044
257	0.025772267431826593	0.032349621244903516	0.018959771677134613	0.0012939042993251296
258	0.018041460070388145	0.03251724464938057	0.008844208264709072	0.003591274417634118
259	0.023124528855929038	0.05923378888199799	0.010619814004873497	0.0037788008252229487
260	0.015950516182773326	0.047508974802472355	0.010918382553904933	0.00249702631003809
261	0.021997347522222106	0.07052662913377916	0.018355067062148865	0.014526951881417116
262	0.022151982026465088	0.04695633853311344	0.01056545998752681	0.0037938372943293456
263	0.03164787406661274	0.0599438653994476	0.021909313284777555	0.006437221320646575
264	0.023184593341810698	0.03519678468233653	0.013457330761938151	0.0037757543278868428
265	0.09990583417915408	0.018606151993156437	0.030765021555292583	0.0028639132796371967
266	0.029025780889355958	0.019723101520822434	0.009771487257322522	0.0034686465760432605
267	0.03441397483355999	0.012581688352049116	0.01337820089291255	0.0026661196313961686
268	0.01827839148873018	0.01886458781207625	0.011561874699036016	0.0036723782539168923
269	0.02113158480529616	0.0210264191917962	0.015669931582424565	0.003951499954981262
270	0.015308724072520189	0.039236502066775966	0.010657961488569309	0.0018385817191067765
271	0.018515774834552367	0.03376410832080182	0.013829468537835283	0.004338795354276115
272	0.015265915863932156	0.057847200113653394	0.009659178764784329	0.0031652602682724256
273	0.029545885523438356	0.04284215260928157	0.022966160466236844	0.0012367290570792257
274	0.030927204150114476	0.06465630369115659	0.014116175956253892	0.003396172300616556
275	0.030303798672158416	0.041157275461622414	0.01809654917039106	0.0002362480654676438
276	0.020896155071584852	0.05053587584301697	0.015774191825596563	0.004459431471125408
277	0.027154696342125192	0.031827776067849596	0.015542970727398622	0.0071084840813649425
278	0.016909770171310328	0.02208061490260789	0.01005653405376362	0.004711952781330949
279	0.023041630232905605	0.01676259779330074	0.016295296298565333	0.007589162403401265
280	0.017461946990237637	0.016746921029765924	0.00912540590899992	0.0033322866627014036
281	0.02422107000774279	0.02927135907780417	0.0105308993334689	0.0055216659195008845
282	0.017508748647641292	0.02686040235186576	0.0074229716905203445	0.002218759530316095
283	0.048585072780989065	0.04504512082102902	0.00934612371994981	0.0012949251240130318
284	0.015871174130347266	0.039916351784012434	0.008217058954420934	0.0016643262873790757
285	0.027203488399556462	0.062084523227690785	0.007030859504811896	0.00424046886296031
286	0.014636100136044126	0.04298087001426273	0.009503260199130854	0.003237169757694587
287	0.019035874653051007	0.06032771657464833	0.016769003580124058	0.006222835317188438
288	0.014661789499610629	0.03486273051120159	0.01128194858250327	0.0031615773014095094
289	0.02332853271739282	0.03726595076917641	0.018710277666535918	0.004600362845705704
290	0.06812300280366337	0.018376123393100872	0.0026133932941352126	0.007279117202852847
291	0.057029297288316017	0.010654730868002157	0.02549302810200468	2.0272975804610533e-06
292	0.022016944180447733	0.019777734945905436	0.011416192078154717	0.0016293909474408388
293	0.028264899253557987	0.01801855433116464	0.014954212661608457	5.9587390135214e-05
294	0.015169523413963458	0.03538909772009582	0.006754672967839062	0.002670090705561345
295	0.022004858481487154	0.031194443396044144	0.007960480956875304	0.004905461759505808
296	0.015707654801009684	0.05309834778700825	0.003560599167807337	0.002678622673674544
297	0.019133961703326156	0.03821871736767132	0.012430415412880683	0.004021590853477908
298	0.017564242263828668	0.060331570419206594	0.0077826182377238535	0.003609396541882783
299	0.023120585888380916	0.04004326500134795	0.01642744510498627	0.0009368928317140693
300	0.01859490266093945	0.05246077852959112	0.008483474477842923	0.003029522232949664
301	0.03042010289568134	0.035456491472310156	0.005772673858020289	0.0031163148587711634
302	0.015868742437177022	0.030261380976662828	0.009042733255212435	0.0043141462751052455
303	0.019284467169652115	0.022781803977585783	0.014703335970974172	0.010893211852277651
304	0.013469254964478998	0.01663356973652974	0.010704764173613357	0.004358132696142661
305	0.020083294990110752	0.02394509903767282	0.01425569591265432	0.004086078253004613
306	0.022796333968859248	0.02099367186144131	0.007903319085514036	0.002693448963664039
307	0.11549334998764729	0.025222613974055588	0.015544846311788181	0.003968907845753648
308	0.033200123437649824	0.030366193782802045	0.010426652335870736	2.0874322720506135e-05
309	0.04575164130710102	0.0493559476226507	0.012670468681975593	0.00027485063707771294
310	0.017712745059629352	0.03874179169187406	0.006449104979569105	0.0023006958133658284
311	0.02474376809599259	0.05470585111152685	0.00964190154761463	0.0024373858316776675
312	0.014186340914972593	0.036568082055327675	0.007169412557333631	0.0034080004820264895
313	0.017913261000165145	0.042631847297416384	0.012879717821283236	0.0040422005815920455
314	0.014200080213586949	0.028462308930030242	0.010796093782876727	0.0019029271059314422
315	0.02886101578446729	0.01838505627765506	0.0229148615172323	5.970003550725801e-05
316	0.014171049864076302	0.02078899424255561	0.01071435245948045	0.003514477104059088
