Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
477	221.02604294698943	3.000022888416427	419.0860424889373	705.222897336928	861.3506535242442	345.06061342410675	6.000091555062724	479.1104197348402	702.2368634966851	1123.663555442542	288.0397252967858	7.000053406304996	393.07360197048575	617.1770685774652	737.2489169434826
478	252.0281106694696	20.00035096161706	543.1438126051779	729.238357467891	963.3939413689792	486.1140953620789	19.000328073355856	533.1382416832806	762.2523778700705	1431.9513665621027	399.0770994922928	26.00048829444398	522.1261987322396	640.1840721162608	748.2437495708974
479	225.0304084814108	34.00106817142533	464.1378827613558	625.2207763444211	692.2899609159854	414.1189249027114	31.00086215518792	547.189647507666	626.2269968962578	1193.8967614843764	318.06726363942937	32.00068666754954	389.0923964907831	493.1407726750172	562.1721384624717
480	202.0197475074417	25.00045014692805	321.0503265382503	563.1459297923235	636.1755697210393	329.0524788336238	19.00028229419464	388.072070056025	549.1445296271843	1204.7072339496915	293.0413212173605	15.000221257330937	350.0602711684728	466.0960029111871	545.1304951058387
481	212.0246772270144	21.000312811927987	390.0809225282578	533.1458226543224	647.2026412806283	351.0671622564406	9.000144961988616	447.1081633387475	590.1757358786014	1362.119797255224	321.0540815037336	18.000244145747363	360.06452796920723	479.1135651909571	542.1422248395069
482	382.0837797333545	3.000022888416427	583.1801199498896	1122.6647750299594	1431.1179705778816	444.10681482405954	5.000038147360711	607.2005812806858	1161.699115484746	1728.5920414233149	464.1262058844549	4.000045777143302	599.1914940980716	969.5260426892148	1286.9290893445996
483	561.2215874604201	5.000053406615444	681.2891902933459	1313.1038933156772	1699.8829934331163	544.1875666896319	1.0000076294721425	774.3632772872618	1305.1238163901205	1843.2156953043304	547.1976831270558	3.000022888416427	649.2739123137285	1211.9621694936886	1505.4914123215578
484	737.3300375084311	3.000022888416427	1091.6850864730586	1718.6665236009417	2007.329431350816	1195.8916575462547	7.000068665559729	1214.9498796508014	1939.2304434977964	2299.007094616628	1103.7554384971254	5.000053406615444	1302.0751728312946	1854.0163087678989	2084.487855997984
485	559.2150602490699	3.000022888416427	837.4790176625843	1406.29425805423	1570.607221222984	938.6101507986626	3.000022888416427	1112.8738669771217	1384.3018247368648	1895.1561408309544	826.4591250864594	5.000053406615444	940.6147797674734	1279.0489482224314	1435.3504028265725
486	392.06973317263424	2.000015258944285	745.2299224027248	1026.4409142069912	1159.556373081812	712.212190358934	2.000015258944285	805.2744796020305	1189.6031667564744	1720.2072557338176	622.1746221058696	4.000030517888569	713.215511010312	961.3900899787976	1097.5106928446885
487	421.0979524036892	4.000030517888569	758.3255115452604	1169.7038549883994	1314.8539912571744	695.2752638906547	3.00003814767116	916.4687546301052	1263.8842037242778	1802.7157043116888	661.2534896847852	6.000061036087587	727.3047336783902	1084.6209429347498	1175.6927971868768
488	286.0353143291881	4.000030517888569	572.1378418263698	999.4227529665826	1140.5391462074504	488.09667134372825	5.000038147360711	578.1387112140981	1003.4284514198048	1465.875896319079	424.0785708061784	1.0000076294721425	524.1161810734379	836.2943575100469	1004.4244994224244
489	228.03066029542836	4.000030517888569	461.1225607860011	702.2919992521826	826.4003799606247	414.111303093012	1.0000076294721425	486.1414066235515	695.2977881360262	1163.8112619974297	321.06481301343496	5.000038147360711	427.10973994660696	635.239573673035	730.3297249949832
490	481.1239965074932	2.000015258944285	874.4159186301051	1567.357203586149	1868.908607825453	695.2690310651597	1.0000076294721425	829.3847719695708	1589.3644685745603	2134.4216952017823	660.2459855058406	0.0	867.4068080550882	1434.125586729291	1726.6395147524838
491	443.1428091990426	0.0	758.4239921637976	1347.2963774792845	1659.9649452296112	639.2933506523594	2.000015258944285	871.5040535552886	1391.4670277713249	1702.0380188128051	527.2006759554458	3.000022888416427	666.3389825121533	1204.0681668818654	1525.665676782529
492	212.02186902392364	2.000015258944285	333.0518222256492	615.1737472713804	781.2650725692848	248.0309654234169	2.000015258944285	333.0503257969916	600.1618142925	958.4224478959068	280.0367342896436	1.0000076294721425	323.05315060186683	569.1482803934972	656.205219917336
493	159.01423050968305	0.0	305.045257819221	503.1262813342125	634.1942669898586	271.0331391251003	0.0	339.05672061841403	569.150153376523	785.2870700754727	253.03077389275228	2.000015258944285	315.0444333837249	463.1077035787178	594.1655648572802
494	236.02339460833448	6.000061036087587	387.0636038758526	645.1684095133952	800.2628573273923	371.058017308128	0.0	387.0636342812598	728.2167652521097	1008.4294308206588	325.0458529322273	1.0000076294721425	435.078561243344	598.1447096604448	744.2282004246294
495	172.01730571459524	8.000076295031871	387.0808549390805	615.2099645774022	729.2654110388169	320.0572788136332	4.000045777143302	404.07899801644845	603.1941127704671	952.4791876283062	264.0395430183052	6.000045776832854	293.0451516548495	560.1708703623425	713.2579183551045
496	173.01273463289758	35.00098424117803	304.0396640458729	564.1330035065231	635.1698913349816	266.0325367519934	26.00053407779624	316.0441514853256	569.134125624416	1003.4355564257652	214.02110557037176	28.00068667888089	299.03913740385053	480.102750190577	570.1365287419177
497	181.0198010755095	36.00125128869108	339.0653461936325	463.12567505279424	570.1739239282455	294.05041056046946	37.001030013509386	379.0850069415586	455.1140419862439	922.5472997215816	211.0285769705001	43.00124364447273	286.04628951207064	408.09179175875687	440.1068115814263
498	302.0489915497841	36.00080874236352	637.2255325092102	1284.9686116378125	1462.2262234124987	468.1175314296384	30.000564590096747	668.2382909880055	1306.9521723232751	2081.415145851077	477.1244245272715	38.000839257768526	629.2244460099647	1138.7093192814916	1551.3658837259752
499	246.03894811557453	15.000175479101063	572.2102540884564	966.6112325704128	1217.035024962972	439.1146081827199	30.000579850282826	650.2522232685762	967.6165403542084	1677.8827123510953	395.100015465236	18.000335702672775	479.1428056550664	813.4380071151191	1148.930913590391
500	182.0150009913368	13.00016022015678	350.0604996839678	585.1642369496267	779.2718556162354	311.04647992000264	7.0000839248144615	356.05736983548223	617.1833068641876	1089.573711337364	292.042366625483	10.00012207248562	363.0640177100686	542.1346554160788	709.2339013142474
501	169.0149476683962	14.000167850094597	316.0504707839629	542.1495691031168	613.1912869369406	265.03681822796625	3.000022888416427	380.0768770890823	557.1590426495599	947.482584237403	275.0408782800647	10.00012207248562	295.0447849054875	448.1054680944244	520.134409564672
502	548.1934094366428	7.000068665559729	1113.757833629783	1493.2909704475287	1604.4427302161107	1094.7477501440935	5.0000686658701765	1248.9971021798444	1695.6832474126488	2605.011416978649	1013.6136436397586	8.000106814007008	1101.7582042546026	1323.9971621740845	1283.8985710756358
503	487.1900720290272	5.000053406615444	1054.9006190430189	1243.1927764807854	1365.4174262649085	1007.8259507987776	5.000038147360711	1307.261641547412	1289.3610138354643	2130.615892530445	815.56522476768	4.000030517888569	947.7316183998704	1081.9209087709498	1118.8987969711534
